title,label,service_id,service_name,category
This service receives your percise location through GPS coordinates,bad,324,Urban Dictionary,This service receives your precise location through GPS coordinates
"The court of law governing the terms is in Georgia, USA.",neutral,1522,ShortcutWorld.com,The court of law governing the terms is in location X
You may not be able to opt out of tracking,bad,4513,Prisma Media,This service still tracks you even if you opted out from tracking
Tracking via third-party cookies for other purposes including advertising,bad,314,Quora,Third-party cookies are used for advertising
The court of law governing the terms is in People's Republic of China,neutral,2702,Douban,The court of law governing the terms is in location X
The service may use web beacons and device fingerprinting on users.,bad,306,Mega,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting"
Accessibility to this service is guaranteed at 99.9%,good,1545,DiscourseHosting,Accessibility to this service is guaranteed at 99% or more
The court of law governing the terms is in San Francisco,neutral,831,Clockify,The court of law governing the terms is in location X
Your feedback is invited regarding changes to the terms.,good,3534,Flipboard,Your feedback is invited regarding changes to the terms
The court of law governing the terms is in England and Wales,neutral,2455,matrix.org,The court of law governing the terms is in location X
You can access most of the pages on the service's website without revealing any personal information,good,173,WordPress.org,You can access most of the pages on the service's website without revealing any personal information
Third parties are involved in operating the service,neutral,511,MyAnimeList,Third parties are involved in operating the service
"Any liability on behalf of the service is only limited to the fees you paid as a user or $2,500",bad,2207,hCaptcha,Any liability on behalf of the service is only limited to the fees you paid as a user
The service provides two factor authentication for your account,good,2532,Authy (Twilio),Two factor authentication is provided for your account
"Defend, indemnify; survives termination",neutral,2532,Authy (Twilio),"Defend, indemnify, hold harmless; survives termination"
"You may have the right to request access, correction and/or deletion of your data",good,1511,Shopify,"You can request access, correction and/or deletion of your data"
The service is open-source,good,2220,AnonAddy,The service is open-source
critical changes without user involvement,neutral,527,Qwant,Critical changes to the terms are made without user involvement
You have the right to delete your Yle ID at any time,good,3580,Yleisradio,You have the right to leave this service at any time
The service is not responsible for linked or (clearly) quoted content from third-party content providers,neutral,208,Pure Dating,The service is not responsible for linked or (clearly) quoted content from third-party content providers
[UK] Your data may be processed and stored anywhere in the world,bad,4024,Just Eat,Your data may be processed and stored anywhere in the world
This service is only available to users over a certain age,neutral,460,Credit Karma,This service is only available to users over a certain age
Users shall not interfere with another person's enjoyment of the service,bad,306,Mega,You shall not interfere with another person's enjoyment of the service
Political discussions or campaining are prohibited,neutral,4139,MIT App Inventor,Political discussions or campaining are prohibited
Your content can be licensed to users at other schools,bad,4154,ClassDojo,Your content can be licensed to third parties
The service provides a complete list of all marketing cookies set by its website,good,2579,Pearltrees, A list of all cookies set by the website is provided
"The court of law governing the terms is in Illinois, USA.",neutral,1748,McDonald's,The court of law governing the terms is in location X
This service is only available to users over 13 of age,neutral,2995,Among Us,This service is only available to users over a certain age
First-party cookies are used,neutral,511,MyAnimeList,First-party cookies are used
Your personal data will not be used for an automated decision-making,good,444,Heaven HR,Your personal data will not be used for an automated decision-making
You maintain ownership of your data,good,2074,Letterboxd,You maintain ownership of your content
Your personal data may be disclosed to comply with government requests without notice to you,bad,3202,Synology,Your personal data may be disclosed to comply with government requests without notice to you
You are forced into binding arbitration in case of disputes with some exceptions,bad,187,Meredith,You are forced into binding arbitration in case of disputes
"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",bad,460,Credit Karma,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period"
"Your personal data is used for automated decision-making, profiling or AI training",bad,2228,MuseScore,"Your personal data is used for automated decision-making, profiling or AI training"
This service is only available to users over 16,neutral,3534,Flipboard,This service is only available to users over a certain age
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,good,2416,BitDefender,The data retention period is kept to the minimum necessary for fulfilling its purposes
"The court of law governing the terms is in Amsterdam, The Netherlands",neutral,4614,Porton Private Cloudstorage,The court of law governing the terms is in location X
"If you participate in sweepstakes, contests or promotions your identity is used in ads that are shown to other users",bad,1741,Discovery,Your identity is used in ads that are shown to other users
"When the service wants to change its terms, users are notified a month or more in advance",good,291,iCloud,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance"
"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",neutral,823,Wishlist,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service"
"This service is only available for use individually and non-commercially, unless you are selling your own music",neutral,609,Bandcamp,This service is only available for use individually and non-commercially
"Discogs is only available for use individually and non-commercially, except with written consent",neutral,603,Discogs,This service is only available for use individually and non-commercially
Archives of their T&C and PN documents are provided so that changes can be viewed over time,good,8283,t2bot.io,Archives of their agreements are provided so that changes can be viewed over time
Third parties are involved in operating the service (Cloudflare and Netlify),neutral,7670,Elk.zone,Third parties are involved in operating the service
There is a date of the last update of the T&C and CN documents,neutral,8283,t2bot.io,There is a date of the last update of the agreements
The service can delete your account without a reason,bad,2579,Pearltrees,Your account can be deleted or permanently suspended without prior notice and without a reason
You sign away moral rights,bad,1741,Discovery,You waive your moral rights
"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",good,177,Wikimedia,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance"
Only necessary user logs are kept by the service to ensure quality,good,3015,Session,Only necessary logs are kept by the service to ensure quality
"""Roblox doesn’t control or take responsibility for Third-Party Services (including how those third parties use User information).""",neutral,1336,Roblox,This service assumes no responsibility and liability for the contents of links to other websites
info given about security practices,good,1357,Minds,Information is provided about security practices
There is a date of the last update of the agreements (January 2020),neutral,4079,Stingle Photos,There is a date of the last update of the agreements
Political discussions which are against the government-advocated value are prohibited,bad,6285,Pantip.com,Political discussions which are against the government-advocated value are prohibited
Any liability on behalf of the service is only limited to $100 (Canadian dollars),bad,1362,Wattpad,Any liability on behalf of the service is only limited to the fees you paid as a user
Any liability on behalf of the service is only limited to the fees you paid as a user or 500€,bad,2929,Wish,Any liability on behalf of the service is only limited to the fees you paid as a user
EU Residents can request access and deletion of personal data.,good,1575,Enpass,"You can request access, correction and/or deletion of your data"
The court of law governing the terms is in Germany for European users/New York for non-European users,neutral,5643,Ableton,The court of law governing the terms is in location X
You will be notified about website maintenance,good,4304,Ouigo,You will be notified about website maintenance
Users cannot scrape the website of the service,neutral,2361,Attendify,"Spidering, crawling, or accessing the site through any automated means is not allowed"
Information is provided about security practices,good,2895,Line Corporation,Information is provided about security practices
IP addresses of website visitors are not tracked,good,327,RiseUp.net,IP addresses of website visitors are not tracked
"In case of a merger, Personal data will not be transferred to the acquiring company",good,3738,Gather Town,Promises will be kept after a merger or acquisition
"Date of the last update of the agreements : April 21, 2017 ",neutral,3428,SmartThings,There is a date of the last update of the agreements
Tracking via third-party cookies for advertising,bad,306,Mega,Third-party cookies are used for advertising
The service uses social media cookies/pixels,bad,1597,Huawei, You are being tracked via social media cookies/pixels
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (Australia),bad,3015,Session,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection
Your SmartThings profile is combined across various products and services,bad,3428,SmartThings,Your profile is combined across various products
"Users can scrape the site, as long as it doesn't impact the server too much",good,707,Nextcloud,"You can scrape the site, as long as it doesn't impact the server too much"
The software is open-source,good,3388,SchildiChat,The service is open-source
This service will continue using anonymized user-generated content even after erasure of personal information,neutral,603,Discogs,This service will continue using anonymized user-generated content after erasure of personal information
"This service is only available to users 13 years or older, or a regions minimum age if different",neutral,8374,Perplexity AI,This service is only available to users over a certain age
The court of law governing the terms is in Canada,neutral,8283,t2bot.io,The court of law governing the terms is in location X
This service tracks you on other websites,bad,460,Credit Karma,This service tracks you on other websites
The service will only respond to government requests that are reasonable,good,251,Foursquare,The service will only respond to government requests that are reasonable
Your content can be deleted if you violate the terms,neutral,3160,Rofkin,Your content can be deleted if you violate the terms
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,neutral,511,MyAnimeList,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision
You must report to the service any unauthorized use of your account or any breach of security,neutral,511,MyAnimeList,You must report to the service any unauthorized use of your account or any breach of security
[UK] Content you post may be edited by the service for any reason,bad,4024,Just Eat,Content you post may be edited by the service for any reason
Prohibits the posting of pornographic content,neutral,306,Mega,The posting of pornographic content is prohibited
This service provides archives of their terms of service so that changes can be viewed over time,good,165,Goodreads,Archives of their agreements are provided so that changes can be viewed over time
"SmartThings, trought Samsung, claims to be CCPA compliant for California users",good,3428,SmartThings,The service claims to be CCPA compliant for California users
The service provides information about how they intend to use your personal data,good,183,CouchSurfing,Information is provided about how your personal data is used
There is a date of the last update of the Yle ID Terms of Use,neutral,3580,Yleisradio,There is a date of the last update of the agreements
"For users living in North America, the court of law governing the terms is in location California, USA",neutral,417,Adobe Services,The court of law governing the terms is in location X
Some personal data may be kept for business interests or legal obligations,bad,460,Credit Karma,Some personal data may be kept for business interests or legal obligations
"The service may keep a secure, anonymized record of users' data for analytical purposes even after the data retention period",bad,306,Mega,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period"
"We and our advertising partners collect certain information, including cookies, advertising identifiers and/or the IP address of your device",bad,317,Fox News,Your personal data is used for advertising
"The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (Wisconsin, USA)",bad,3716,Simply Earth,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection
You aren’t allowed to remove or edit user-generated content,bad,4521,Gettr,You aren’t allowed to remove or edit user-generated content
The court of law governing the terms is in the United States,neutral,358,kik-messenger,The court of law governing the terms is in location X
"The court of law governing the terms is in Hanover, Germany",neutral,157,Tuta,The court of law governing the terms is in location X
You can retrieve an archive of your data,good,2136,Le Soir,You can retrieve an archive of your data
"There is a date of the last update of the PN, SDP and CoC documents",neutral,8283,t2bot.io,There is a date of the last update of the agreements
The court of law governing the terms is in New Zealand,neutral,306,Mega,The court of law governing the terms is in location X
easy to read,good,527,Qwant,The terms for this service are easy to read
You are tracked via web beacons/tracking pixels,bad,444,Heaven HR,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting"
This service keeps user logs for an undefined period of time,bad,2315,Fandango,Logs are kept for an undefined period of time
You cannot opt out from tracking,bad,3682,webmail,This service still tracks you even if you opted out from tracking
You maintain sole ownership of your content and no intellectual property is transferred to the service,good,4813,CodeSandbox,You maintain ownership of your content
You can delete your content from this service,good,2074,Letterboxd,You can delete your content from this service
This service is only available to users over 13 years old,neutral,3428,SmartThings,This service is only available to users over a certain age
Any liability on behalf of the service is only limited to the fees you paid as a user or $100,bad,2491,Gfycat,Any liability on behalf of the service is only limited to the fees you paid as a user
no spidering or crawling,neutral,1362,Wattpad,"Spidering, crawling, or accessing the site through any automated means is not allowed"
"Terms may be changed any time at their discretion, without notice to the user",bad,187,Meredith," Terms may be changed any time at their discretion, without notice to you "
The court of law governing the Terms is in Norway,neutral,319,W3Schools,The court of law governing the terms is in location X
"Prices and fees may be changed at any time, without notice to you",bad,2136,Le Soir,"Prices and fees may be changed at any time, without notice to you"
Third parties are involved in operating the Amnesty International website,neutral,614,Amnesty International Limited (UK),Third parties are involved in operating the service
You are prohibited from posting content which promotes violence or politically or religiously extremist values.,neutral,3160,Rofkin,You are prohibited from posting content which promotes violence or politically or religiously extremist values
"You can request access, correction and/or deletion of your data, depending on where you live",good,8374,Perplexity AI,"You can request access, correction and/or deletion of your data"
This service does not allow users to remove or edit user-generated content,bad,2756,Alzforum,You aren’t allowed to remove or edit user-generated content
You are entitled to a refund if certain thresholds or standards are not met by the service,good,3160,Rofkin,You are entitled to a refund if certain thresholds or standards are not met by the service
This service gives your personal data to third parties involved in its operation,bad,460,Credit Karma,This service gives your personal data to third parties involved in its operation
This service is only available to users of a certain age,neutral,460,Credit Karma,This service is only available to users over a certain age
Private messages can be read unless turned off in the settings,bad,3738,Gather Town,Private messages can be read
A free help desk is provided for questions regarding the Yle ID terms,good,3580,Yleisradio,A free help desk is provided
User accounts can be terminated after having been in breach of the terms of service,good,3580,Yleisradio,User accounts can be terminated after having been in breach of the terms of service repeatedly
Prohibits harming minors in any ways,neutral,2544,El País,Harming minors in any ways is prohibited
You cannot blame CouchSurfing for disputes you have with other users,neutral,183,CouchSurfing,This service cannot be held responsible for disputes that you may have with other users
Any liability on behalf of the service is only limited to the fees you paid as a user,bad,306,Mega,Any liability on behalf of the service is only limited to the fees you paid as a user
SpiderOak cannot decrypt your files,good,267,SpiderOak,"This service claims User-generated content is encrypted, and they can not decrypt it"
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (Los Angeles; California; USA),good,1564,MeWe,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection
[UK] There is a date of the last update of the agreements,neutral,4024,Just Eat,There is a date of the last update of the agreements
You authorise the service to charge a credit card supplied on re-occurring basis,neutral,511,MyAnimeList,You authorise the service to charge a credit card supplied on re-occurring basis
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,bad,1597,Huawei,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (China),bad,2120,Alibaba,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection
The court of law governing the terms is in the United Kingdom,neutral,8721,Recipe Realm [depricated],The court of law governing the terms is in location X
Your biometric data is collected and without necessarily your explicit consent,bad,2808,Consumer News & Business Channel,Your biometric data is collected
This service can license user content to third parties,bad,186,Flickr,Your content can be licensed to third parties
Details are provided about what kind of information they collect,good,262,Symbaloo,Information is provided about what kind of information they collect
The website is open-source,good,2658,Metager,The service is open-source
This service gathers information about you through third parties,bad,183,CouchSurfing,Information is gathered about you through third parties
"The court of law governing Discogs' terms is in the State of Oregon, United States of America",neutral,603,Discogs,The court of law governing the terms is in location X
Your personal data is aggregated into third-party statistics,neutral,721,Bilibili,Your personal data is aggregated into statistics
"When the service wants to change its terms, users are notified 30 days in advance",good,3115,L'Equipe,"When the service wants to change its terms, you are notified a week or more in advance"
"The court of law governing the terms is in location Victoria, Australia",neutral,3015,Session,The court of law governing the terms is in location X
The service provides a complete list of all cookies set by its website,good,2913,Nslookup, A list of all cookies set by the website is provided
How do they work with third parties (contractors they use)?,good,5630,Opera,Third parties used by the service are bound by confidentiality obligations
Your personal data is used to employ targeted third-party advertising,bad,2136,Le Soir,Your personal data is used to employ targeted third-party advertising
The court of law governing the terms is in the State of Connecticut,neutral,1357,Minds,The court of law governing the terms is in location X
[UK] You can opt out of promotional communications,good,4024,Just Eat,You can opt out of promotional communications
The service uses third party tracking pixels to track social media conversion,bad,614,Amnesty International Limited (UK), You are being tracked via social media cookies/pixels
Your content can be licensed to third parties,bad,262,Symbaloo,Your content can be licensed to third parties
You can choose not to provide location information,good,2557,TourOfCalifornia.org,You can limit how your information is used by third-parties and the service
This service employs different Terms of Use and Privacy Policies dependent on whether you are in the EU + Switzerland,neutral,1007,Brainly,Separate policies are employed for different parts of the service
The terms for this service are easy to read and include plain language summaries,good,460,Credit Karma,The terms for this service are easy to read
"The service may use tracking pixels, web beacons, browser fingerprinting, and device fingerprinting on users.",bad,2745,Disney+,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting"
"The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (Illinois, USA)",bad,4769,Translate,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection
The court of law governing the terms is the Kingdom of Sweden,neutral,6686,Leetify,The court of law governing the terms is in location X
Service does not allow alternative accounts,neutral,264,VKontakte,Alternative accounts are not allowed
This service has a no refund policy with some exceptions,neutral,306,Mega,This service has a no refund policy with some exceptions
The court of law governing the terms is in location Singapore,neutral,2447,likee,The court of law governing the terms is in location X
"If you offer suggestions to the service, they become the owner of the ideas that you give them",bad,3202,Synology,"If you offer suggestions to the service, they become the owner of the ideas that you give them"
30 days of notice are given before closing your account,good,4614,Porton Private Cloudstorage,30 days of notice are given before closing your account
Your personal data is given to third parties,bad,208,Pure Dating,This service gives your personal data to third parties involved in its operation
You cannot opt out of targeted advertising,bad,2645,Rumble,You cannot opt out of promotional communications
 The service is only available in some countries approved by the United States government,bad,5272,privacypolicies.com, The service is only available in some countries approved by its government
This service informs users that its Terms of Service does not apply to third party websites,neutral,2702,Douban,This service informs you that its Terms of Service does not apply to third party websites
No logs are kept,good,4076,Aegis Authenticator,Only necessary logs are kept by the service to ensure quality
The service has a no refund policy,neutral,165,Goodreads,The service has a no refund policy
The service can delete specific content without reason and may do it without prior notice,bad,165,Goodreads,Specific content can be deleted without reason and may be removed without prior notice
"Any liability on behalf of the service is only limited to $ 1,000",bad,2995,Among Us,Any liability on behalf of the service is only limited to the fees you paid as a user
This service is only available to users over a certain age (18),neutral,10665,Vouchley,This service is only available to users over a certain age
There is a date of the last update of the User Terms of Service,neutral,2195,Wolt,There is a date of the last update of the agreements
The court of law governing the terms is in the Province of Alberta,neutral,2865,DrugBank,The court of law governing the terms is in location X
"Many third parties are involved in operating the service (Facebook, TargetSpot, Concept CPH, Pandora)",bad,276,SoundCloud,Many third parties are involved in operating the service
SmartThings provides a free help desk,good,3428,SmartThings,A free help desk is provided
You can choose the copyright license,good,1519,Open Humans,You can choose the copyright license
This service informs you that its Terms of Service does not apply to third party websites,neutral,460,Credit Karma,This service informs you that its Terms of Service does not apply to third party websites
This service is a subsidiary of Refsnes Data,neutral,319,W3Schools,This service is a subsidiary of Company X
The service suspends your account after inactivity for 2 years,neutral,3580,Yleisradio,The service suspends your account after inactivity for a certain or uncertain time
This service is only available for use individually and non-commercially.,neutral,208,Pure Dating,This service is only available for use individually and non-commercially
The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,neutral,4154,ClassDojo,The copyright license that you grant this service is limited to the parties that make up the service's broader platform
Bluemail is only available to users over 13 years old,neutral,2848,BlueMail,This service is only available to users over a certain age
Only temporary session cookies are used,good,3684,Nulled,Only temporary session cookies are used
"You are being tracked via social media cookies, if you have consented to the use of cookies for social embeds",bad,3580,Yleisradio, You are being tracked via social media cookies/pixels
"The court of law governing the terms is in California, USA.",neutral,200,Twitch,The court of law governing the terms is in location X
The service can delete your free account without prior notice and without a reason,bad,417,Adobe Services,Your account can be deleted or permanently suspended without prior notice and without a reason
The service informs you that its privacy policy does not apply to third party websites,neutral,511,MyAnimeList,The service informs you that its privacy policy does not apply to third party websites
The service does not guarantee accuracy or reliability of the translations,neutral,4447,Linguee,The service does not guarantee accuracy or reliability of the information provided
The service allows you to opt out of providing personal information to third parties,good,798,Patook,You can opt out of providing personal information to third parties
The service claims to be GDPR compliant for European users,good,251,Foursquare,The service claims to be GDPR compliant for European users
Your data is processed and stored in a country that is friendlier to user privacy protection (Switzerland),good,2973,Swisscows,Your data is processed and stored in a country that is friendlier to user privacy protection
An onion site accessible over Tor is provided,good,2669,AirVPN,An onion site accessible over Tor is provided
The copyright license that users grant this service is limited to the parties that make up the service's broader platform.,neutral,1209,Ryver,The copyright license that you grant this service is limited to the parties that make up the service's broader platform
Any liability on behalf of the service is only limited to the fees you paid as a user or $50,bad,1830,Strava,Any liability on behalf of the service is only limited to the fees you paid as a user
The court of law governing the terms is in Longgang District in Shenzhen City in the People's Republic of China,neutral,1597,Huawei,The court of law governing the terms is in location X
You shall not interfere with another person's enjoyment of the service,bad,2947,Skillshare,You shall not interfere with another person's enjoyment of the service
Your personal data is aggregated into research,neutral,3580,Yleisradio,Your personal data is aggregated into statistics
[UK] This service gives your personal data to third parties involved in its operation,bad,4024,Just Eat,This service gives your personal data to third parties involved in its operation
The service provides details about what kinds of personal information they collect,good,183,CouchSurfing,Information is provided about what kind of information they collect
Your biometric data is collected from public sources,bad,705,Nvidia,Your biometric data is collected
"In some countries, your profile is combined across various products",bad,2895,Line Corporation,Your profile is combined across various products
"[Parsec Users] If you offer suggestions to the service, they become the owner of the ideas that you give them",bad,2768,Unity,"If you offer suggestions to the service, they become the owner of the ideas that you give them"
Your personal data may be shared or otherwise transferred as part of a merging / acquisition proceeding,bad,3259,GlobaliD,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction
"Your IP address is collected, which can be used to view your approximate location (Only on jojoyou.org)",neutral,9994,JojoYou (PriEco),"Your IP address is collected, which can be used to view your approximate location"
personal data is given to third parties,bad,1209,Ryver,This service gives your personal data to third parties involved in its operation
"The court of law governing the terms is in location Delaware, USA",neutral,2461,Merriam-Webster,The court of law governing the terms is in location X
Third parties are involved in operating the service (including Amazon Web Services),neutral,3055,Doctolib,Third parties are involved in operating the service
Users agree to comply with the law of the service's country,neutral,460,Credit Karma,You agree to comply with the law of the service's country
You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,neutral,989,Washington Post,You agree to indemnify and hold the service harmless in case of a claim related to your use of the service
There is a date of the last update of the agreements (Terms: April 2016),neutral,3362,APK Pure,There is a date of the last update of the agreements
This service is only available to users at or over the age of 16,neutral,576,Atlassian,This service is only available to users over a certain age
